keys,ja
KEY_VIEW_ITEM_14_1002,"[br][C_IS]곧바로 질문드겠습니다만── …… 왜 그러시나요?[/C][br][C_IR]조금 불안했거든. 환영받지 못하면[br]어쩌나 해서. 기우였네.[/C][br][C_IS]……? 딱히 우리 길드에는 성별 등에 관한 규약은 없을 텐데요.[/C][br][C_IR]그쪽이 아니라…… 있잖아, 내 『직업』.[/C]"
KEY_VIEW_ITEM_14_1003,"[br][C_IS]……………… 아─, 그쪽 불안이었나요. [/C][br][C_IR][C_R]이전 인터뷰[/C]에서 강한 혐오감을[br]드러내는 것처럼 보였기에…… 하지만[br]그 반응을 보니 지금은 괜찮은 모양이네.[/C][br][C_IS]네, 이제 마음을 고쳐먹었습니다. 그때는[br]많은 모험가분께 정말 실례되는 짓을…….[/C]"
KEY_VIEW_ITEM_14_1004,"[br]\n[C_IR]괜찮아. 그 사건 이후로는, 주변에서 따가운 눈총을[br]받는 게 당연했으니까. …… 하지만 [C_R]그 남자[/C]가 인터뷰에 응해준 덕분에 그런 시선도 조금씩 줄어드는 느낌이야.[/C][br][C_IS]그러셨군요.[/C][br][C_IR]…… 후훗, 질문을 끊어서 미안했어. [br]자, 이쪽은 머릿속 시뮬레이션도 완벽해![br]뭐든 물어봐![/C]"
KEY_VIEW_ITEM_14_1005,"[br][C_IS]네! 그럼 곧바로── 이 파티의『[I_CONCEPT]』를 여쭤봐도 될까요?[/C][br][C_IR]헤!? …… 에─ 우선 이 파티는[br][C_R]전원이 여성[/C]이고…… 아, 이런 이야기가 아니지.[/C][br][C_IS]아뇨 아뇨, 그런 느낌으로 대답해 주셔도 괜찮아요.[/C][br][C_IR]으음…… 여기서 처음 듣는 질문이 나오다니……!![/C]"
KEY_VIEW_ITEM_14_1006,"[br]\n[C_IR]…… 맞아! 우리는[br][b]전방 1명·후방 2명의 3인 파티[/b]인데──[br]무려 내가 전방에서 싸우고 있어![/C][br][C_IS]헤에─! 근접 전투도 가능하신가요?[/C][br][C_IR]응. 이 파티라면 누군가는 몸을 사리지 않고[br]싸워야 할 때가 오니까. 처음엔 나밖에 없기도 했고……[br]맞아 맞아, 그 [N_MUGI___] 녀석도[br][C_R]전사와 함께 전방에서 싸웠다[/C]더라고![/C]"
KEY_VIEW_ITEM_14_1007,"[br][C_IS]그, 그렇게 무모한 전투 방식을 고수하는 파티가[br]두 팀이나……!? 혹시 그게 일반적인 건가요?[/C][br][C_IR][b]앗! 아니……[/b] 나랑 [N_MUGI___]가 남들보다 좀 더[br]튼튼할 뿐이지, 보통은 그런 짓을 했다간[br]목숨이 몇 개라도 모자라![br]이 인터뷰를 보는 같은 직업 사람들이[br]오해하지 않도록, 혹시 몰라서 말해 두는 거야![/C][br][C_IS]아하하, 당연하죠 (웃음).[/C]"
KEY_VIEW_ITEM_14_1008,"[br]\n[C_IR]…… 당신, 자기 영향력을 얕보면 안 돼.[br]나도 그 인터뷰를 보고 이 길드에 올 용기가 생겼으니까![br]나뿐만 아니라 [C_R][I_PARTYS_]를 보고 길드에 가입하는[br]모험가도 적지 않잖아[/C]? [/C][br][C_IS]그, 그건…… 기쁘기도 하고,[br]쑥스럽기도 하고…… 그러네요.[/C]"
KEY_VIEW_ITEM_14_1009,"[br]\n[C_IR]자부심을 가져. …… 뭐, 나도 이젠[br]혼자 싸우는 건 생각도 하기 싫네.[br]두 사람의 서포트 덕분에 안심하고 싸울 수 있거든.[/C][br]\n(뒤를 돌아보며 손을 흔든다)[br][C_IR]저 두 사람의 서포트는 끝내준다고![br]난 완력 하나는 자신 있지만,[br]마법 같은 건 전혀 못 하니까 말이야.[br]우리는 [C_R][b]서로 돕지 않으면 안 될 정도로[br]절묘한 밸런스로 유지되고 있는[/b][/C] 거야.[/C]"
KEY_VIEW_ITEM_14_100A,"[br][C_IS]멋진 일이네요. 그럼 마지막 질문……[br]앞으로의 포부를 말씀해 주세요![/C][br][C_IR]오, 드디어 왔군! 에─ 그러니까……[br]「아직 C랭크지만 더 높은 곳을 목표로 하고 싶다」.[br]「언젠가 우리가 정상을─」……[br]…… 아, 왠지 오글거려서 못 하겠네. 음……[br]………… 맞아![br]다음 단계로 나아가기 위해 조만간[br][C_R]동료로 삼고 싶은 녀석[/C]이 한 명 있어![/C]"
KEY_VIEW_ITEM_14_100B,"[br][C_IS]오오! 역시 사냥꾼…… 아니, 전사인가요?[/C][br][C_IR]뒤에 있는 두 사람도 그렇게 말했었나? 새로운 동료는 후방 지원이지만 [C_R]「뭐든지 한다」[/C]더라고. 맨날 둘한테만 너무 의지했으니까, 좀 여유가 생기면 좋겠네.[/C][br][C_IS]좋은 생각인 것 같아요. 후방의 마력 고갈은[br]전멸로 이어지니까요. 아주 중요하죠.[/C][br][C_IR]그렇지? 그래서 말인데……「좋은 여행을」![/C]"
KEY_VIEW_ITEM_14_100C,"[br][C_IS]예? ……………… 아, 네! [br]오늘 감사했습니다! 좋은 여행 되세요![/C][br][C_IR]미안 미안(웃음). 이번에야말로, 「좋은 여행 되길」![/C][br]\n(기록자 여담):[br]이제 와서 하는 말이지만, 우리가 소유한 『길드 가입 명부』에 [C_R]이름·성별·등록일 등은 기록되어 있는[/C] 반면,[br]어째서인지 파티명이 기록되어 있지 않은 점은[br]조금 불편하지 않은가?[br](리더·멤버 등은 어쩔 수 없다 쳐도……)[br]차라리 멤버 전원의 합의가 있다면 파티명을[br]나중에 변경할 수 있게 해도 그리 큰 지장은 없을 듯한데…."
KEY_VIEW_ITEM_14_DIE1,"[center][b]여걸단 리더, 동료 2명 살해![/b][/center]\n[br]C랭크에서 활약하던 여성만의 파티[br][b]『긍지 높은 여걸단』[/b]의 리더가[br]멤버 2명을 살해하고 헌병단에 자수했다.[br]\n피해자인 여성 2명은 머리 부분을 맨손으로[br]여러 차례 가격당한 듯한 흔적이 남아 있었다.[br]\n[i][C_R]「신입을 장난삼아 죽인 저 둘을……[br]그걸 눈치채지 못한 나 자신을 용서할 수 없었다」[/C][/i][br]\n현장 상황으로 보아 극히 잔인한 사건이나,[br]본인의 진술 내용(상세 내용은 비공개) 및[br]길드에서의 공헌도를 고려하여,[br]그녀에게『금고 1500일』형이 집행되었다."
KEY_VIEW_ITEM_02_1001,"3명의 모험가가 단상에 오른다.[br][C_IS]앗, 아…… 이, 이쪽으로 오세요. [/C][br][C_IR]고마워. 저기…….[/C][br][C_IS]이, 이번에는 그…… 정말 신세를…… [br]…… 가 아니라, 에또, 에또……! [/C][br][C_IR]지, 진정해! 나도 마찬가지야! [br][C_R]첫 번째 [I_PARTYS_][/C]로 뽑혀서 두근거리고 있다고……!! [/C]"
KEY_VIEW_ITEM_02_1002,"[br]\n[C_IR]자, 같은 모험가끼리 너무 긴장하지 말자, 응? [/C][br][C_IS]으으…… 죄송합니다, 죄송합니다…… [br]저, 이런 거 한 번도 해본 적이 없어서…….[br]이런 건…… 훌쩍, [br]우, 우리 리더가 잘했었는데…… 으으으……!! [/C][br][C_IR]…… 정말 안타까운 일이었어. [/C][br]"
KEY_VIEW_ITEM_02_1003,"[br][C_IS]훌쩍…… 괜찮아요. 우리가 약한 게 [br]잘못이었으니까요. 그나저나 설마, [br][C_R][b]던전에 오래 머물면 마물이 되어버리는[/b][/C] [br]경우가 있을 줄이야……! [/C][br][C_IR]나도 너한테 이야기를 들었을 땐 깜짝 놀랐어. [br]너 한 명이라도 살아남아 준 덕분에 우리도 알 수 있게 된 거야. 고마워. [/C][br][C_IS]죄송합니다……. [/C]"
KEY_VIEW_ITEM_02_1004,"[br]\n[C_IR]하하…… 만약을 위해, 사망…… 흠흠, [br][C_R]실격 조건에 『10일 이내에 귀환할 것』을 추가[/C]하는 게 안전할지도 모르겠네. [/C][br][C_IS]네……훌쩍…… [/C][br][C_IR]…… 그런데 그 모자는 어디서 샀어? [br]아마 직업 전용 모자지? [/C]"
KEY_VIEW_ITEM_02_1005,"[br][C_IS]아뇨, 이건 리더가 만들어 준 거라…… [br]그럴싸한 차림을 해야 다들 길드에 [br]찾아와 주지 않겠냐면서요. [br]…… 지금은 제 보물이에요. [/C][br][C_IR]그렇구나…… 그거, 멋진데. 큼지막하고. [/C][br][C_IS]감사합니다. …… 죄송해요, [br]이러면 저에 대한 인터뷰가 되어버리겠네요! [br]곧바로 질문에 들어가도록 하겠습니다! [/C]"
KEY_VIEW_ITEM_02_1006,"[br][C_IS]그럼 우선, 그, 직업은 무엇을……? [/C][br][C_IR]선이라도 보는 거야? (웃음) 흠흠…….[br]내 직업은 함께 여행하던 [C_R]두 스승님 덕분[/C]이라고 생각해. [br][C_R]『전사』[/C]스승님과 [C_R]『마도사』[/C]스승님. [br]두 분께 어릴 적부터 검술과 마법을 배운 덕분에 [br]지금의 내가 있다고 해도 과언이 아니니까. [/C][br][C_IS]과연, 그래서[C_R]『마법전사』[/C]……!! [br]그렇다는 건 뒤에 계신 두 분이? [/C]"
KEY_VIEW_ITEM_02_1007,"[br]\n[C_IR]아니, 한 분은 나중에 들어와 줬어. [br]그에게 정말 많은 도움을 받고 있지. [br]…… 만약 그가 처음부터 있어 줬다면 [br]스승님도 돌아가시지 않았을지도 몰라. [/C][br][C_IS]그, 그러셨군요…… 죄송합니다. [/C][br][C_IR]…… 미안, 방금 말은 취소할게. [br]스승님의 죽음은 내 판단 미스가 원인이었어…….[br]…… 방심하면「만약에」라는 생각이 머릿속을 스치지만, 결국 우리는 앞으로 나아갈 수밖에 없으니까. [/C]"
KEY_VIEW_ITEM_02_1008,"[br][C_IS]그렇군요…… 맞아요, 그렇네요! 앞으로도 [br]세 분이서 대활약하는 모습을 보여주세요! [/C][br][C_IR]고마워. [br]다만 언제가 될지는 모르겠지만…… 사실 한 명, [C_R]영입하려고 생각 중인 남자[/C]가 있어서 조만간 4인 파티가 될 거야. [/C]"
KEY_VIEW_ITEM_02_1009,"[br][C_IS]엣? 그렇다는 건…… 『사냥꾼』이죠!? [/C][br][C_IR]『마도사』야. [/C][br][C_IS]그렇군요…… 어라, 의외네요. [br]마법은 이미 쓸 수 있으시잖아요. [/C][br][C_IR]…… 사실 나도 새로 마도사를 [br]파티에 추가할 생각은 없었어. [/C]"
KEY_VIEW_ITEM_02_100A,"[br]\n[C_IR]그들의 공격 마법은 매우 강력하지만, [br]리더의 지휘 실수가 그대로 죽음으로 직결되거든. [br]스승님도 내가 미숙했던 탓에……. [/C][br][C_IS]그럼 어째서……. [/C][br][C_IR]……………… . [/C]"
KEY_VIEW_ITEM_02_100B,"[br][C_IS]………… 혹시, [C_R]얼마 전『D랭크』로 떨어진[/C] [br]그 개자식…… 흠흠, 그 파티와 관련이 있나요? [/C][br][C_IR]…… 응. 그는 같은 리더로서 [br]절대로 용서받지 못할 짓을 했어. [br]그의[C_R]『전사·전사·마도사·성직자』[/C]라는 [br]4인 파티 구성 자체는 우리가 최종적으로 [br]지향하는 바이기도 했고. [/C]"
KEY_VIEW_ITEM_02_100C,"[br]\n[C_IR]………… 하지만, 그는 불과 며칠 만에 마도사를 돌격시켜 죽게 만들고는 곧바로 신입 마도사를 보충했지. 그 후에도 마도사와 성직자를 동시에 죽게 만들더니, 단지 직업이 같다는 이유만으로 아직 어린 남매 둘을 속여서 파티에 끌어들였어……. [/C][br]\n[C_IR]…… 그 남자는 그 책임을 다하지 않고, [br][I_C_MEMB_]를 소모품으로밖에 생각하지 않아……[br]………… [b]뭐가『영웅』이라는 건지……!!! [/b][/C]"
KEY_VIEW_ITEM_02_100D,"[br][C_IS]………… . [/C][br][C_IR]…… 미안. 조금 흥분해버렸네. [/C][br][C_IS]아뇨…… 저도 같은 마음입니다. 결과만 봐도 [br][I_C_MEMB_]를 20일 만에 5명이나 죽인 리더니까요. [/C]"
KEY_VIEW_ITEM_02_100E,"[br]\n[C_IR]…… 그들이 얼마나 무서운 일을 겪었을지 [br]우리는 상상조차 할 수 없어. [br]그런 불행한 모험가를 한 명이라도 구할 수 있다면, 나는── 그 책임을 다하고 싶어. [/C][br][C_IS]멋진 각오입니다. [N_PAKIRA_] 님이라면 [br]분명 훌륭한 모험가가 되실 거예요! [/C][br][C_IR]그, 그럴까? 헤헤…… 고마워. [br]그런데 이제 모험은 안 하는 거야? [br]지금은 이제 우리밖에 없잖아. [/C]"
KEY_VIEW_ITEM_02_100F,"[br][C_IS]…… . 저는 이제 모험은 포기했어요. [br]동료도 구하지 않을 겁니다. 그 네 명 이외의 여행은…….[br]…… 게다가 만년 『C랭크』 고참이 있으면 [br]오히려 신입들이 오기 편할지도 모르고요 (웃음). [/C][br][C_IR]하하하 (웃음). 또 그런 말을…… 어라, [br]벌써 시간이 이렇게 됐어!? 슬슬 돌아가야겠는데……!! [/C][br][C_IS]앗, 정말이네요!? [br]오, 오늘은 감사했습니다!! [br]대화 나눌 수 있어서 기뻤어요!! …… 저,「좋은 여행 되길」! [/C]"
KEY_VIEW_ITEM_02_100G,"[br]\n[C_IR]? 그게 뭐야? 팔을 앞으로 뻗고…… . [/C][br][C_IS]우리 리더가 생각한『마무리 인사』예요. [br]전…… 모두에게 용기를 주었던 리더의 몫까지 [br]이 자리를 계속 지키고 싶거든요! [/C][br][C_IR]그렇구나…… 응. 정말 멋진 일이네. [br]그럼── 「좋은 여행 되길」! [/C]"
KEY_VIEW_ITEM_02_DIE1,"[center][b]살아있는 전설 『[N_PAKIRA_]』, 땅에 잠들다. [/b][/center]\n[br]마도사를 영입해 4명이 된 후 800일 이상, [br]단 한 명의 희생자도 없이 던전을 계속 공략해 온 [br]전(前) 길드 최강 파티 [b]『[N_PAKIRA_]단』[/b]이 [br]전원 귀환하지 않은 채 이미 10일이 경과했다. [br]\n4명으로 구성된 정예 [b]『호걸의 기사단』[/b]이 [br]생존 확인을 위해 떠난 지 며칠 후── [br]돌아온 것은 단 2명뿐이었다. [br]\n[i][C_R]「리더는 마물화된 [N_PAKIRA_]에게 살해당했다──」[/C][/i][br]\n그 말만을 남긴 그들은 초점이 맞지 않는 눈으로 [br]비틀거리며 숙소로 향했다. [br]\n이 악몽을 길드 연맹은 엄중하게 받아들여, [br]주변 일대를 세계 최초의 [b]『X랭크(금기)』[/b]로 지정하고, 마물화된 우리 영웅의 이름을 따서 [br][b][C_R]『[N_PAKIRA_] 던전』[/C][/b]이라 부르기로 했다. "
KEY_VIEW_ITEM_02_CRD1,"[center][b]『[I_CARD___]』, 마침내 출시! [/b][/center]\n[br]『[I_DAY____] 500』을 기념하여 길드의 모험가가 [br][b]카드 [I_GAME___][/b]가 되어 등장! [br]제1탄에 수록된 『A랭크 [N_RARE___]』 카드, [br][b]『살아있는 전설 [N_PAKIRA_]』[/b]를 소개한다! [br]\n-----------------------------------[br][i][b]【살아있는 전설 [N_PAKIRA_]】[/b] (적)(적)(적)[br]전설의 모험가── 마법전사[br][I_C_SPEED] [I_C_CAUTI][br]살아있는 전설 [N_PAKIRA_]는 당신이 [I_C_CTRL_][br]하고 있는 모험가 1체당 [I_C_COUNT]가 [br]1개 놓인 상태로 전장에 나간다. [br]9/9[br]\n── 현재 이 길드에는 단 한 명, [br]검술에 능하면서도 『마도사의 증표』를 [br]장착하는 것이 허락된 모험가가 있다. [br]-----------------------------------[/i]"
KEY_VIEW_ITEM_10_RNK1,"[center][b]A랭크 확정!? 『[I_BRAVE__]』, 탄생!![/b][/center]\n[br]정예들이 모이는 우리 길드에 새로운 바람이 불어왔다!\n[br]청년 [N_MATSU__]는 단 혼자서 던전에 진입해, [br]50일이라는 이례적인 속도로 B랭크에 승격했다.\n[br][b]성인의 3배에 달하는 신장[/b]을 가진 그의 거구에서 뿜어져 나오는 [b][C_R]호쾌한 도끼질[/C][/b]은 어떤 마물도 일격에 분쇄한다.\n[br]같은 날 A랭크로 승격한 그 [N_PAKIRA_]조차 [br]「그에게는 못 당하겠네」이라고 말했을 정도였다.\n[br]다음 페이지에서는 파티명의 유래에 대해 설명한다."
KEY_VIEW_ITEM_10_RNK2,"[center][b]『[I_BRAVE__]』에 대하여[/b][/center]\n[br][b]『고고한 [I_BRAVE__]라 불리는 사나이』[/b]의 파티 이름은 [br]어느 두 인물의 영향을 받았다고 한다.\n[br]그중 한 명은 단 혼자서 고고하게 싸움을 이어갔던 [br]같은 직업의 모험가에게 영향을 받은 것이라고 한다.[br] (참고로 그 모험가는 현재 둘이서 나란히 싸우고 있다고 한다.)\n\n또 다른 한 명은 지상에서 흉악한 마물과 마주친 그를 [br][b][C_R]신기한 마법으로 구해준 수수께끼의 소년[/C][/b]인데, [br][b]「방금 나, 『[I_BRAVE__]』 같았지?」[/b][br]라며 쑥스러운 듯 웃던 모습이 인상적이어서, [br]자신도 그렇게 되고 싶다는 동경을 품게 되었기 때문이라고 한다.[br]\n단어의 의미는 알 수 없으나 본인의 희망에 따라 [br]길드는 그에게 이명 [b]『[I_BRAVE__]』[/b]를 수여했다."
KEY_VIEW_ITEM_10_DIE1,"[center][b]『[I_BRAVE__]』, 땅에 잠들다.[/b][/center]\n[br]얼마 전 [I_NEWS___]를 통해 승격을 알렸던 『[I_BRAVE__]』가 [br]추정 B랭크 던전에 들어간 채 귀환하지 않고, [br]이미 10일이 경과했다.\n[br]상태를 확인하러 갔던 현 길드 최강 파티 [br][b]『[N_PAKIRA_]단』[/b]이 만신창이가 되어 귀환하더니, [br][b][C_R]아무도 여기에 가까이 오지 마!!!」[/C][/b][br]라고 크게 외친 것이 인상에 남아 있다.\n[br]『[I_BRAVE__]』는 던전의 장기에 노출되어 [br]흉악한 몬스터로 변해버리고 말았다고 한다.[br]그의 친구(당시 B랭크 후보이기도 했던)는 [br]충격으로 일어서지 못하고 승격을 포기했다.[br]\nA랭크 모험가조차 상대할 수 없는 [br]이 위험한 던전을 봉쇄하고, 그의 이명을 따서 [br][b][C_R]『[I_BRAVE__] 던전』[/C][/b]이라 부르기로 했다."
KEY_VIEW_ITEM_01_PRE1,"[center][b]길드 탐구단에 어서 오세요![/b][/center]\n[br][i]「두근거리는 모험이 당신을 기다리고 있다──」[/i][br]\n[b]오늘, 드디어 이 마을에도 길드가 탄생했습니다![/b][br]모험하면 역시 던전! [br]하지만 마물과 싸우는 건 무서울지도 모르겠네요……. [br]그렇게 생각하신 적 없나요? \n[br]놀랍게도 『길드 탐구단』에는 [b]사내 [I_C_MEMB_]로 [br]본격적인 현역 모험가가 4명이나 소속 중입니다![/b][br][b]전사·전사·사냥꾼·성직자의 왕도 파티[/b]가 [br]여러분을 [b]하나부터 열까지 서포트[/b]해 드립니다! \n[br]어떠신가요? [br]길드 탐구단 역시 [b][C_R]오늘을 『[I_DAY____] 0001』로 정하고, [br]이제부터 기념비적인 첫 출진을 나갑니다![/C][/b][br][b]돌아오면 모험가끼리── 저희와 악수합시다![/b][br]※ 던전 하나에 여러 파티가 동시에 들어가면 [br]　매우 위험하므로, 악수 등은 길드 내에서 진행합니다."
KEY_VIEW_ITEM_13_1001,"1명의 모험가가 단상에 오른다.[br][C_IS]오늘 인터뷰에 응해 주셔서 [br]감사합니다! 그리고 그리고오!! [br]B랭크 승격을 진심으로 축하드립니다!!![/C][br][C_IR]흥…….[/C][br][C_IS]…… 어, 별로 기뻐 보이지 않으시네요?[/C][br][C_IR]당연하지. …… 반대로 넌 왜 그렇게 [br]기분이 좋아 보이는 건데. [/C]"
KEY_VIEW_ITEM_13_1002,"[br][C_IS]아니 아니 아니!! [br]이 짧은 기간에 B랭크가 된다는 게 얼마나 엄청난 일인데요……!! [br]전 이『100일 제한』때문에 언제 승격하나 목 빠지게 기다리고 있었다고요!![/C][br][C_IR]흥, 흐응…… . 하지만 말이야, 혼자서 북 치고 장구 치던 괴물 같은 녀석이 죽는 바람에 대신 내가 운 좋게 들어간 것뿐이잖아? [br]그 괴물은 [C_R]50일 만에 B랭크[/C]에 올라간 진짜 실력자였다고…… 두고 봐! [br]언젠가 그[b]『[I_BRAVE__] 던전』[/b]도 우리가 공략해 버릴 테니까! [/C]"
KEY_VIEW_ITEM_13_1003,"[br][C_IS]하하하…… 그나저나『우리』라고요? [br]…… 앗, 죄송합니다! 억지로 말씀 안 하셔도……. [/C][br][C_IR]죽은 거 아냐. 동료들은 회장 밖에서 기다리게 했어. [br]…… 여기는 출입 금지라고 하더라고. [/C][br][C_IS]출입 금지라니, 뭔가 껄끄러운 일이라도…… [br]아, 그렇군요. 번거롭게 해 드려 죄송합니다. [/C]"
KEY_VIEW_ITEM_13_1004,"[br]\n[C_IR]됐어, 익숙하니까. 짧게 끝내줘. [/C][br][C_IS]감사합니다. 곧바로 질문드릴게요. [br]파티명[b]『인연의 사중주(콰르텟)』[/b]의 유래를 [br]여쭤봐도 될까요? [/C][br][C_IR]파티라기보다는…… 그룹 이름이지. [/C]"
KEY_VIEW_ITEM_13_1005,"[br][C_IS]그룹이라는 건 어떤 의미인가요? [/C][br][C_IR][b]『인연의 사중주』[/b]라는 건 길드에 오기 전부터 [br][b][C_R]예전부터 몰려다니던 4인조 그룹의 호칭[/C][/b]이야. [br]리더는 당연히 나. [br]다른 옛 친구들에게도 제안할 생각이지. [/C][br][C_IS]그렇군요…… 「생각」이라고요? [br]저기, 그러면 빨리 연락을 취하는 게 좋지 않을까요…….[/C]"
KEY_VIEW_ITEM_13_1006,"[br]\n[C_IR]그렇지……. 사실 이미 한 명은 [C_R]다른 파티[/C]에 [br]들어가 버려서 더는 부를 수도 없게 됐거든─. [br][I_DAY____]를 보고 서둘러 등록한 나도 참 나지만……. [br]…… 나 원 참, 세 명이나 데리고 다니면서 뭐가 「고고」하다는 거야. [/C][br][C_IS]어라라…… 파티 이름도 못 바꾸는데 [br]난처하게 됐네요. [/C][br][C_IR]바꾸고 싶지는 않아. [C_R]다른 녀석들은 아직 길드에 들어오지 않았으니[/C] 나중에 말을 걸어봐야지. [br]…… 좀 설레는데. 아주 조금 말이야. [/C]"
KEY_VIEW_ITEM_13_1007,"[br][C_IS]좋네요~! 꼭 그렇게 해주세요! 그럼 다음으로……[/C][br][C_IR]미안. 동료들을 너무 오래 기다리게 하고 싶지 않아. [/C][br][C_IS]앗, 그랬죠! 그럼 마지막 질문…… [br]앞으로의 각오를 부탁드립니다! [/C]"
KEY_VIEW_ITEM_13_1008,"[br]\n[C_IR]보고 있냐, [N_PAKIRA_]. 동료들을 모아서 이번엔 실력으로 A랭크까지 질주해 주겠어! 그렇게 되면 [br]『A랭크 전용 별장』도 우리 차지라고! [br]지금 미리 노후나 즐겨두라고! [/C][br][C_IS]감사합니다. 그럼, 좋은 여행 되시길! [/C][br][C_IR]어? …… 아아!「좋은 여행 되길」! [/C]"
KEY_VIEW_ITEM_13_DIE1,"[center][b]『인신매매』조직 괴멸! 하지만 희생은 커……[/b][/center]\n[br]헌병단은 소년소녀를 노린『인신매매』로 골머리를 앓고 있었으나, [br]마침내 그 아지트가 교회임을 밝혀내어 [br]조직을 괴멸시키는 데 성공했다. \n[br]놀랍게도 조직을 배후에서 몰아붙인 것은 [br]헌병단이나 파티 일행이 아니라── [br]4인조 그룹(그중 3명은 본 길드의 모험가)이었으며, 그 리더는 늑대를 부리는 야수 조련사 소년이었다. \n[br]그들의 그룹명 『인연의 사중주』는 [br]이번 공로자인 4명이 오랜 친구 사이이며, [br]위급할 때는 서로 돕기로 약속한 사이였다고 한다. \n[br]그야말로 사중주에 걸맞은 유대였으나, [br]그들 4명 중 3명이 희생되었고 유일하게 살아남은 [br]전사 청년은 [C_R]「우리, 솔로가 되어버렸네」[/C][br]라며 웃으면서 한 마리의 늑대를 쓰다듬고 있었다. "
KEY_TALK_EVE__003_000,"배고파!"
KEY_TALK_EVE__003_001,"아까 받은 전단지에 있는 거, [br]맛있어 보이니까 나중에 읽어 줘─."
KEY_VIEW_ITEM_END_000,"[center][b]조사 완료! 감사합니다![/b][/center]\n[br]파티 정보 복구에 힘써주셔서 감사합니다![br]덕분에 아무런 문제 없이[br]『전야제』를 무사히 마칠 수 있었습니다.[br]\n이 모든 것은 전부『[I_CLS_PLY]』님 덕분입니다.[br]\n자, 그럼 또 다른 보상 건에 대해서입니다.[br]약속대로, 솜씨 좋은 [b][C_R]『그림자 치료사』들[/C][/b]을 [br]내일이라도 당장 보내드리도록 하겠습니다.[br]\n그들은 아직 어린아이들입니다만, [br]그 어느 치료사보다도 신뢰할 수 있는 [br]길드 제일의 암치료사들이니 안심하십시오.[br](상세 내용은 다음 페이지)"
KEY_VIEW_ITEM_END_001,"[center][b]치료사 상세 정보[/b][/center]\n[br]치료사 (메인): \n - [N_UZU____][br]\n치료사 (서포트): \n - [N_NAGI___]\n - [N_CHII___][br]\n접수·클레임 담당: \n - [N_RANTHUS]\n - [N_TOPY___][br]\n비용: \n - 0G (의뢰인이 전액 부담)"
KEY_VIEW_ITEM_END_002,"[center][b]치료사 보충 설명 (1/3)[/b][/center]\n[br]그들은 각자의 사정으로 던전에 들어가지 않게 된 성직자들입니다.[br]\n아무래도 [b]본 길드의 베테랑 선배[/b]가 아이들을 세심하게 챙겨주고 있었고, 이를 알게 된 [br][b]B랭크 모험가 소녀[/b]가 『그림자 치료사』 일을 제안하여 비공식적으로 일을 시작하게 되었다고 합니다.\n - 원래 일반인에게 마법을 쓰려면 특별한 자격이 필요함.\n - 치료비의 대부분을 납부해야 함.[br]\n그런데 아이들은 전원 어린 나이임에도 불구하고, [br]어른을 뛰어넘는 막대한 양의 마력을 가지고 있어 [br]금세 그 재능을 꽃피웠습니다.[br]\n그중에서도 메인 치료사인 소년의 치유 마법은, [br][b]목숨만 붙어 있다면 어떤 중상이라도 회복으로 이끄는 어마어마한 마법[/b]이었다고 하네요.[br](오늘 아침, 의식불명이었던 여성도 눈을 떴습니다.)"
KEY_VIEW_ITEM_END_003,"[center][b]치료사 보충 설명 (2/3)[/b][/center]\n[br]첫날에 길드에 들켜버린 선배는 [br]해고나 헌병단 인도를 각오했다고 합니다만, [br]길드는 선배의 행위를 묵인해주고 있습니다.[br](이건 비밀이에요……!)[br]\n우수한 아이들을 공식적인 무대에 세우지 못하는 것이 아쉽지만, 아이들도 지금의 형태가 행복한 모양이라…… 죄송합니다.[br]\n또한, 아이들도 함께 살고 있는 [b]모험가 남성[/b]으로부터 [C_R]「허락을 받았다」[/C]고 거짓말을 하고 의뢰를 받고 있었다는 사실이 밝혀졌습니다.[br]\n그걸 알게 된 선배는 죽음을 각오했다고 합니다만…… [br]아무래도 아이들이 그보다 한 수 위였던 모양인지, 결국 굴복한 남성은 [br][C_R]「내 곁에서 떨어지지 않는다면 마음대로 해」[/C][br]라며 마지못해 승낙했다고 하네요."
KEY_VIEW_ITEM_END_004,"[center][b]치료사 보충 설명 (3/3)[/b][/center]\n[br]그런 이유로 그들의 치료 실력은 보증수표입니다.[br]양다리의 치료도 좋은 결과를 기대해 주세요.[br]만약 치료를 받고도 걷지 못하게 된다면, [br]저를 길드 앞에 서 있는 나무 아래에 [br]파묻으셔도 괜찮습니다.[br]\n다시 한번, 이번 일은 정말 감사했습니다![br]또 기회가 된다면 다시 만나요![br]그럼 이만![br]\n\n길드 견습생 겸 [I_GAME___] 크리에이터[br]파르소닉(파르소닉 공방) 드림[br]\n[i]Thank you for playing!![/i]"
KEY_TALK_EVE__END_000,"아, 나가요─!"
KEY_TALK_EVE__END_001,"다녀왔어─."
KEY_TALK_EVE__END_002,"길드 사람들, 기뻐하더라."
KEY_TALK_EVE__END_003,"「그 신입이 온 건가?」"
KEY_TALK_EVE__END_004,"응,『전야제』도 무사히 끝났대."
KEY_TALK_EVE__END_005,"오늘 밤에는, 아키라라는 사람이[br][C_R]『파키라 던전』[/C]에 도전한대."
KEY_TALK_EVE__END_006,"「그렇군……잘 풀리면 좋겠네」"
KEY_TALK_EVE__END_007,"그러게……뭐, 괜찮겠지."
KEY_TALK_EVE__END_008,"맞다 맞다, 아저씨 치료[br]수속도 끝난 것 같아!"
